author,title,description
Renee Hoagenson,Democrat from Missouri,Renee Hoagenson is the Democratic candidate for the 4th Congressional District of Missouri.
Greg Casar,None from Texas,"Gregorio ""Greg"" Casar was initially elected to the Austin City Council in 2014. He represents the city's District 4."
Citizens for the Republic,None from Virginia,Citizens for the Republic is a conservative advocacy group headed by several veterans of the Reagan Administration.
Judicial Watch,,Judicial Watch is a conservative group that litigates on public corruption and other issues.
Raul Torres,Republican from Texas,Represented Corpus Christi's District 33 in the state House 2011-13; owner since 1993 of accounting/financial services firm.
Ryan Sitton,Republican from Texas,"Ryan Sitton, a Houston-area executive, won election to the Texas Railroad Commission in 2014."
Joseph Andriole,Labor leader from Rhode Island,"Joseph Andriole worked as a firefighter in Central Falls for 22 years. After retiring in 2009, he began working full-time as vice president of the Rhode Island State Association of Firefighters. He previously worked part-time as the association’s business agent."
Rudy Moise,Democrat from Florida,Rudy Moise is running in Congressional District 24 in 2012. The district includes portions of Miami-Dade and Broward counties.
John Burton,Democrat from California,"John Burton is chairman of the California Democratic Party, and a former Congressman."
Andrea Mitchell,,Andrea Mitchell is a journalist for NBC and MSNBC.
Steve Henson,Democrat from Georgia,"Steve Henson, a Democrat, is the minority leader in the Georgia state Senate. He represents a district located in central DeKalb County."
Rosemary Laird,None from Florida,"Rosemary Laird is a geriatrician at the Centre for Senior Health in Winter Park, Fla."
Sandy Pasch,Democrat from Wisconsin,"Wisconsin state Rep. Sandy Pasch, D-Whitefish Bay, has served in the state Assembly since being elected in 2008. In 2011, she announced she was running in a recall election against state Sen. Alberta Darling, R-River Hills."
Denny Hoskins,Republican from Missouri,Denny Hoskins is a Republican state senator from Missouri.
Patriot Majority USA,,"Patriot Majority USA describes itself as an organization hoping to empower all Americans. Its action plan includes providing more money for public schools, improving the nation’s roads and bridges, supporting the federal health care law’s provision that allows parents to keep their children on their insurance until the age of 26, and closing tax loopholes for special-interest groups."
Right to Rise,,
Seth Moulton,Democrat from Massachusetts,"Seth Moulton is a representative of Massachusetts’s 6th Congressional District. He has represented the district since 2014. Moulton served in the U.S. Marine Corps from 2001 to 2008 and attained the rank of captain. After being discharged from the Iraq War, he received an MBA from Harvard Business School and an MPP from the Harvard Kennedy School. Moulton previously received a bachelor’s degree in physics from Harvard University. In 2019, he announced he is running for the Democratic nomination for president."
Austin Scott,Republican from Georgia,Austin Scott is a Republican candidate for Georgia's 8th Congressional District
Robby Mook,Democrat from New York,"Robby Mook, a Democratic political strategist, is the 2016 presidential campaign manager for Hillary Clinton."
James Carville,Democrat from Louisiana,James Carville is a Democratic political consultant and political commentator.
Fred Upton,Republican from Michigan,Fred Upton is a Republican U.S. Representative from Michigan. He is chairman of the House Energy and Commerce Committee.
Drew Springer,,"Freshman state representative in the 2013 Texas Legislature from the Northwest Texas town of Muenster, representing District 68."
Scott McCown,Democrat from Texas,"F. Scott McCown, a former Travis County state district judge, once presided over the landmark legal battle over school funding equity. He has led the Austin-based Center on Public Policy Priorities since 2002."
Rene Garcia,Republican from Florida,"Sen. Rene Garcia, R-Hialeah, is a former city council man and state representative. He was elected to the Florida Senate in 2010."
Conservative Daily Post,Organization from Nevada,"The Conservative Daily Post is a website based in Las Vegas whose goal is to ""do our part to destroy the 'politically correct' behavior that has inhibited true liberty and democracy in America for so long."""
Miami-Dade County,,
Jay Hottinger,Republican from Ohio,"Jay Hottinger is a representative in the Ohio House. He represents the 71st District, which encompasses portions of Licking County."
AFL-CIO of New Jersey,,
Thomas Sowell,,"Thomas Sowell is an author and columnist, and a senior fellow at the Hoover Institution at Stanford University."
Martin Kiar,Democrat from Florida,"Martin David ""Marty"" Kiar, a Democrat from Davie and an attorney, served in the Florida House of Representatives from 2006-2012. He then won a seat on the Broward County Commission and was chosen by his peers to be the mayor for the year in November 2015. He is running for property appraiser in 2016."
Rob Cornilles,Republican from Oregon,Rob Cornilles is the president and founder of Game Face Inc. He is a graduate of Brigham Young University.
Patty Murray,Democrat from Washington,Patty Murray is a Democratic senator who represents the state of Washington.
Martha McSally,,"U.S. Rep. Martha McSally, R-Ariz., served 26 years in the U.S. Air Force, retiring in 2010 as a full colonel. She was the first female fighter pilot to fly a combat mission and command a fighter squadron. She was elected to public office for the first time when she won election to Congress in 2014."
Glen Sturtevant,,"Sturtevant, an attorney, is a member of the Richmond School Board. He is seeking the 10th District state senate seat held by outgoing GOP Sen. John Watkins."
Fred Thompson,Republican from Tennessee,"Fred Thompson was a U.S. senator from Tennessee from 1994 to 2003. He graduated from Memphis State University and earned a law degree at Vanderbilt University. Thompson practiced law and served a variety of government counsel positions, including as minority counsel for the Senate Select Committee on Presidential Campaign Activities (""Watergate Committee""). In his acting career Thompson has appeared in 18 films, and recently worked as a TV actor, playing a prosecutor on the series Law and Order. Thompson was born in Alabama in 1942. He has been married to Jeri Kehn since 2002, and has four children, two from his first marriage. He withdrew from the presidential race on Jan. 22, 2008."
Steve Doocy,Journalist from New York,Steve Doocy is a host of the Fox and Friends program on the Fox News channel.
Richard Franklin III,Democrat from Texas,Former Del Valle school board member who unsuccessfully sought the Democratic nomination for a seat on the Travis County Commission in 2012.
Garnet Coleman,Democrat from Texas,"Coleman, initially elected to the Texas House in 1991, formerly chairs the Texas House Committee on County Affairs. Coleman says in his online biography that he's one of the authors of the Children's Health Insurance Program (CHIP) in Texas, a program that makes health insurance available to more than 500,000 children from working families. He said he also helped simplify access to Medicaid for more than 600,000 Texas children, and worked to secure an increase of $161.5 million for at-risk child care services."
John G. Edwards,Democrat from Rhode Island,"John G. ""Jay"" Edwards is a state representative whose district includes Tiverton and Portsmouth."
Rich Golick,Republican from Georgia,"Rich Golick, R-Smyrna, represents the 40th House District in the Georgia Legislature."
Colorado Democratic Party,Democrat from Colorado,Colorado Democratic Party
Pat Stevens,None from Georgia,Pat Stevens is Director of Environmental Planning for the Atlanta Regional Commission.
Kathy Miller,,"Kathy Miller is president of the Texas Freedom Network, which describes itself as a watchdog group that monitors ""far-right issues, organizations, money and leaders."""
Minka Kelly,,Minka Kelly is an American actress.
U.S. Census Bureau,None from Maryland,The U.S. Census Bureau oversees the decennial government census and related research including the annual American Community Survey.
Mothers Against Drunk Driving,Organization from Wisconsin,"Founded by a mother whose daughter was killed by a drunk driver, Mothers Against Drunk Driving® (MADD) is the nation’s largest nonprofit working to protect families from drunk driving and underage drinking."
Kurt Bauer,None from Wisconsin,"Kurt Bauer is president of Wisconsin Manufacturers & Commerce, the state's largest business lobby."
Anonymous GOP critics,,
Bill Weimer,None from Ohio,"Bill Weimer is the vice president of Youngstown, Ohio,-based Phantom Fireworks, the nation's largest retailer of consumer fireworks."
Robert Koons,,Robert Koons is a philosophy professor at the University of Texas at Austin.
Ted Lyon,Democrat from Texas,Lyon is a Mesquite lawyer and Democrat who was a member of the Texas House of Representatives and then the Texas Senate from 1979 into early 1993.
Environment New Jersey,None from New Jersey,"Environment New Jersey is a statewide, citizen-based environmental advocacy group."
Howard Marklein,Republican from Wisconsin,Howard Marklein of Spring Green represents the 17 district in the Wisconsin State Senate.
Robert Jacquard,Democrat from Rhode Island,Rhode Island state Rep. Robert Jacquard is a Democrat who represents District 17 in Cranston.
Kevin Downing,"None from Washington, D.C.","Kevin Downing is an attorney based in Washington, D.C. His highest-profile client is Paul Manafort, who was prosecuted by Special Counsel Robert Mueller."
13th District GOP slate,Republican from New Jersey,"The 13th District GOP slate includes state Sen. Joe Kyrillos and Assembly members Declan O'Scanlon and Amy Handlin. The trio won their primary contests Tuesday, June 4 and will be on the November 2013 ballot."
Wisconsin Assembly Republicans .,Republican from Wisconsin,"Wisconsin State Reps. Jesse James, Ken Skowronski, Jim Ott, John Spiros and Tony Kurtz"
Russia Today,,Russia Today is a American cable network that is funded by the government of Russia.
Various media reports,None from Georgia,this is for hate crimes story. fact-check of reports in news media.
Jan Jones,Republican from Georgia,"Jan Jones, a Republican, is a state representative from north Fulton County and House Speaker pro tem."
Jan Schakowsky,Democrat from Illinois,"Schakowsky was elected to represent Illinois' 9th Congressional District in 1998, after serving for eight years in the Illinois General Assembly. She is in her eighth term, serving in the House Democratic leadership as a Chief Deputy Whip and as a member of the Steering and Policy Committee. She is a member of the Energy and Commerce Committee, where she is the Ranking Democrat on the Commerce, Manufacturing and Trade Subcommittee, and the House Permanent Select Committee on Intelligence where she is the Ranking Democrat on the Oversight Committee. Health care is a high priority for Schakowsky."
Phil Scott,Republican from Vermont,Phil Scott is the 82nd governor of Vermont.
Mike Parson,Republican from MIssouri,"Mike Parson, a Republican, was elevated to governor of Missouri after the resignation of Gov. Eric Greitens in 2018."
Miro Weinberger,Democrat from Vermont,"Miro Weinberger is the Democratic mayor of Burlington, Vermont, currently in his third term."
Catherine McKenna,,
Clean Virginia,,"Clean Virginia is a non-profit organization seeking to overhaul the state's system of regulating power companies, which it says is ""corrupt,"" and ""rigged"" against  consumers. The organization notes that Virginia's two dominant power companies, Dominion Energy and the Appalachian Power Co., which provide 82 percent of the state's electricity, have contributed more than $12 million to state campaigns since 1996. Those contributions, the organization contends, have reseulted in favorable treatment by the Genral Assembly."
Gérard Deltell,,
Kanye West,,Kanye West is an award-winning rapper/producer.
Alexander Strenger,None from Texas,"Alexander Strenger, an Austin pedicabbie, is a 2018 candidate for Austin mayor."
JD Wooten,Democrat from North Carolina,"JD Wooten is a Democrat and lawyer from Whitsett, NC."
Michael Lee,,Michael Lee is a Republican member of the NC State Senate
Jagmeet Singh,,
Jeff Tarte,,Jeff Tarte is a Cornelius Republican in the State Senate.
Sue Bell Cobb,,Sue Bell Cobb is the former Alabama Supreme Court chief justice. The Democrat is running for Alabama governor in 2018.
Andrew Scheer,,
Tom Wolf,Democrat from Pennsylvania,"Tom Wolf is a Democrat running for the gubernatorial nomination in Pennsylvania in 2014. Wolf, a businessman, served as state revenue secretary in 2007 and 2008 under Democratic Gov. Ed Rendell."
Kim Rudd,,
Joe Kennedy,Democrat from Massachusetts,"U.S. Rep. Joe Kennedy represents the Fourth District in Massachusetts. Prior to being elected to Congress, Joe served the Commonwealth of Massachusetts as an Assistant District Attorney in both the Middlesex County and Cape and Island’s District Attorneys’ Offices. He lives in Newton."
Elizabeth Foley,None from Florida,"Foley is a Professor of Law at Florida International University College of Law, a public law school located in Miami, Florida."
Tom Luce,None from Texas,"Tom Luce, a Dallas lawyer, is a long-time adviser to state government leaders. In the 1980s, he helped steer into law an overhaul of state education laws including the no-pass, no-play requirement that students pass their classes to participate in extracurricular activities."
The University of North Carolina Chapel Hill,,
Billy Richardson,Democrat from North Carolina,State Rep. Billy Richardson is a Democrat from Fayetteville.
Marco Rubio's heckler,Democrat from Florida,"September Porras heckled U.S. Sen. Marco Rubio during his Aug. 22, 2017 speech to the Seminole County GOP. She is an Orlando resident, Swarthmore College student and member of Sunrise Movement, a national effort to combat climate change."
Glenna Hodge,None from Texas,"Glenna Hodge, a Spicewood lawyer, made a claim about what the Austin district teaches children about gender identity."
Evan Smith,None from Texas,"Evan Smith, former editor of Texas Monthly, co-founded the Texas Tribune with Ross Ramsey in 2009. He's the Tribune's CEO."
Derrick Crowe,Democrat from Texas,"Derrick Crowe of Austin, a former small businessman, in 2017 announced his bid for the Democratic nomination to represent the 21st Congressional District running south from Travis County into Bexar County."
Kimberley Strassel,,Kimberley Strassel is a Washington-based columnist and editorial board member for the Wall Street Journal.
James Risch,Republican from Idaho,"James Risch, a Republican, is a U.S. Senator from Idaho. Previously, he served as his state's governor, lieutenant governor and state senator."
Nate Walker,Republican from Missouri,"Nate Walker, a Republican, is a state representative in Missouri."
Social Media,,logo
Don Huffines,Republican from Texas,"Don Huffines, a Dallas businessman elected in 2014 to represent Texas Senate District 16, was vice chair of the Veteran Affairs & Border Security Committee in the 2017 Legislature."
Tim Moore,Republican from North Carolina,Tim Moore is a Republican from Cleveland County and the speaker of the N.C. House of Representatives.
Wick Moorman,,Amtrak CEO
John Eichelberger,Republican from Pennsylvania,"John H. Eichelberger, Jr is a state senator who represents the 30th District. The 30th includes Blair County, where Eichelberger is from, Fulton County and portions of Cumberland, Franklin and Hungtington Counties."
Betsy DeVos,,Betsy DeVos is an education activist and major Republican donor from Michigan. President-elect Donald Trump nominated her for the position of education secretary.
Levar Stoney,Democrat from Virginia,"Levar Stoney is a 2016 candidate for mayor of Richmond. Stoney was appointed Secretary of the Commonwealth in 2014 by Virginia Gov. Terry McAuliffe. He resigned the post in April 2016 to run for mayor. Prior to that, he served as executive director of the Virginia Democratic Party and worked in a number of campaigns. Stoney was born in 1981 in New York and later moved to Yorktown, Va. He graduated from James Madison University in 2004, where he was president of the student government."
Elizabeth May,,
No on 56 campaign,,The No on 56 campaign opposes California's proposed $2 per pack cigarette tax. It is funded by tobacco companies Phillip Morris and R.J. Reynolds.
No on 67,,"The No on 67 campaign opposes California's Proposition 67, a measure that would ban thin plastic carryout bags at grocery stores statewide and impose a 10 cent fee on paper and other carryout bags. The campaign is led by a plastics industry trade association."
Rick Saccone,Republican from Pennsylvania,Rick Saccone is a state representative in the Pennsylvania House of Representatives from Allegheny County. He serves the 39th District.
Zephyr Teachout,Democrat from New York,Zephyr Teachout is the Democratic candidate in the 19th Congressional District. She also ran for governor in 2014.
Katie McGinty,Democrat from Pennsylvania,Katie McGinty is a Democratic candidate for the U.S. Senate from Pennsylvania. She is a former secretary of the state Department of Environmental Protection and served as Governor Tom Wolf's chief of staff.
Fighting for Ohio PAC,Republican from Ohio,Political action committee supporting Sen. Rob Portman for reelection
Enterprise Florida,Organization from Florida,Enterprise Florida is the public-private partnership between the state's businesses and government leaders. It is the economic development organzaition of Florida.
Ban Ki-moon,,
Kiki Curls,Democrat from Missouri,S. Kiki Curls is a Democrat who serves in the Missouri state Senate.
Viral media reports,None from Georgia,this is for facebook post and twitter feeds
Diane Douglas,,Diane Douglas is the Arizona Department of Education's State Superintendent of Public Instruction.
Bill McRaven,None from Texas,"William H. McRaven, a retired U.S. Navy four-star admiral, became chancellor of the University of Texas System in January 2015. McRaven graduated from The University of Texas at Austin in 1977 with a degree in journalism and received his master’s degree from the Naval Postgraduate School in Monterey in 1991."
Todd Richardson,Republican from Missouri,"Todd Richardson, a Republican, represents part of Butler County in the Missouri House of Representatives. He was elected to his first two-year term in November 2010 and reelected in November of 2012 and 2014."
State Public Service Announcement,None from Georgia,working on keeping traffic deaths down
Justin Trudeau,,Justin Trudeau is the 23rd prime minister of Canada.
Michael Needham,,Michael Needham is the CEO of Heritage Action for America.
Ben Rhodes,,"Ben Rhodes is the Assistant to the President and Deputy National Security Advisor for Strategic Communications and Speechwriting, overseeing President Obama’s national security communications, speechwriting, and global engagement."
Kiplinger.com,,
Internet commenters,None from Wisconsin,People who post comments on stories published on the Internet
Richard Woods,Republican from Georgia,Richard Woods was elected January 2015 as state superintendent. He's a republican.
Joe Pojman,Republican from Texas,"Joe Pojman leads the Texas Alliance for Life, a nonprofit that says it opposes abortion in all cases except to save the life of the mother."
Tim Lee,,Tim Lee is chairman of the Cobb County Board of Commissioners.
Stanley McChrystal,,Stanley McChrystal  is a retired U.S. Army general.
State Farm Insurance,,major insurer
Russell McMurry,None from Georgia,Russell McMurry is commissioner of the Georgia Department of Transportation.
Maria Shriver,,Maria Shriver is a NBC News correspondent.
Rich Lowry,,Rich Lowry is the editor of National Review.
Gary Painter,Republican from Texas,"Gary Painter, the Midland County sheriff, is in his seventh term in that office."
Tom Mulcair,,
Jim Lampley,,Jim Lampley is a boxing announcer for HBO.
Kathleen Sullivan,Activist from Rhode Island,"Kathleen Sullivan is the town of Warren’s substance abuse coordinator. She is also program director for The BAY Team, Barrington’s Prevention Coalition."
Peter Schweizer,,"Peter Schweizer is a political consultant and author of the book ""Clinton Cash."""
Viral BuzzFeed,None from Georgia,buzzfeed.com
Charlie Bethel,Republican from Georgia,lawyer and member of state senate
Martin Smith,None from Georgia,lobbyist for the Georgia Beer Wholesalers Association
Karina Wood,Organization from Rhode Island,"Karina Holyoak Wood is a policy director for the American Lung Association and director of Tobacco Free Rhode Island, a statewide network of more than 55 organizations."
Atlanta Journal-Constitution,,
Leonidas Raptakis,Democrat from Rhode Island,"Leonidas ""Lou"" Raptakis has served as a state senator since 1996, representing Coventry and several surrounding communities, and regained his seat in 2013. Prior to that, he was a member of the House of Representatives for four years. He was a candidate for secretary of state in 2010. He is the owner of Venus Pizza in Coventry."
Jack Keane,,Jack Keane is a retired four-star Army general and Fox News contributor.
Alan Essig,None from Georgia,Alan Essig is the longtime executive director of the left-leaning Georgia Budget & Policy Institute.
GSU Alumni Association,,this is the politifact silouhette
Claire Suggs,None from Georgia,education analyst
John Thune,Republican from South Dakota,John Thune is a U.S. Senator who represents South Dakota.
Amy Klobuchar,Democrat from Minnesota,"Amy Klobuchar is a senator from Minnesota. Klobuchar was elected as senator in 2006 and re-elected in 2012 and 2018. Klobuchar received a bachelor’s degree in political science from Yale University and a J.D. from the University of Chicago Law School. In 2019, she announced she is running for the Democratic nomination for president."
Stephen Harper,,
Hank Huckaby,None from Georgia,"Chancellor, University System of Georgia and state House representative."
Mike Dudgeon,Republican from Georgia,"Republican lawmaker from Forsyth County, GA"
Russ Girling,,"Russ Girling is the president and CEO of TransCanada, the company hoping to construct the Keystone XL pipeline."
LZ Granderson,,LZ Granderson is a commentator for ESPN and CNN.
Georgians Together,Democrat from Georgia,PAC formed to help Michelle Nunn's U.S. Senate bid.
Michael Hayden,,Michael Hayden is a retired U.S. Air Force general and former Director of the National Security Agency and Director of the Central Intelligence Agency.
Jeff Amason,Libertarian from Georgia,attorney and Libertarian candidate for House District 21
Martha Raddatz,,Martha Raddatz is a correspondent with ABC News.
Lon Burnam,Democrat from Texas,Lon Burnam represented District 90 (which covers parts of Fort Worth and Tarrant County) from 1997 through 2014. He lost his bid for re-election in the 2014 Democratic primary.
Larry Elder,,Larry Elder is a conservative radio talk show host and political commentator.
John Padgett,Republican from Georgia,Party chair for Georgia Republican Party
Mark Emmert,,Mark Emmert is president of the NCAA.
Ending Spending Action Fund,,"The Ending Spending Action Fund describes itself as “an independent organization that proudly supports candidates regardless of party affiliation who favor enhancing free enterprise, reducing the size of government, and balancing our nation's budget.” It was founded in 2010 under another name by Joe Ricketts, a businessman who founded TD Ameritrade and whose family owns the Chicago Cubs baseball club, according to Open Secrets, a website that tracks money in politics. Ricketts has said he is a registered independent."
Joy Reid,,Joy Reid is the host of MSNBC's The Reid Report.
D’Banj,,
Jake Tapper,,Jake Tapper is host of CNN's The Lead.
Rula Jebreal,,"Rula Jebreal is a Palestinian journalist who emerged as a Middle Eastern voice in Western media after sharing her experiences about growing up in the West Bank and reporting in Egypt during the Arab Spring,"
Stu Burguiere,,"Steve ""Stu"" Burguiere is the head writer of The Glenn Beck Program"
Matt McGrath,Democrat from Georgia,"Manager, Jason Carter campaign"
Charles Krauthammer,,Charles Krauthammer is a syndicated columnist and a contributor to Fox News.
Republican Party of Georgia,Republican from Georgia,Republican Party of Georgia
Peter Shumlin,Democrat from Vermont,"A committed entrepreneur, Peter was the longtime co-director, along with his brother, of Putney Student Travel and National Geographic Student Expeditions, a company that sends students on educational programs and service projects across the globe. He is also a partner in several real estate companies that provide housing and commercial space in Southeast Vermont. His career in public service began more than 30 years ago when at the age of 24 he was elected to serve on the town’s select board. In 1990, Governor Madeleine Kunin appointed Peter to fill an empty seat in the Vermont House of Representatives, where he served for 3 years. He then served Windham County for 8 terms in the VT Senate and was elected by his colleagues to lead the Senate as President pro tem the majority of that time."
Brian Kemp,Republican from Georgia,"Brian Kemp, a Republican, is the Georgia Secretary of State"
Kyle Williams,Democrat from Georgia,"Kyle Williams, a Democrat, is an attorney based in Decatur and involved in several community organizations."
Anissa Naouai,,Anissa Naouai is a correspondent for RT.
Michelle Nunn,Democrat from Georgia,"Michelle Nunn was the chief executive officer of the Points of Light Foundation, a charitable organization. She is the daughter of former U.S. Sen. Sam Nunn, a Democrat from Georgia. Michelle Nunn is running for the U.S. Senate as a Democrat."
Bob Cole,None from Texas,"Cole, a long-time Austin radio host, joined partners in launching KOKE FM in 2012. He hosts the station's weekday morning program from 6 a.m. to 10 a.m."
Charles Van Zant,Republican from Florida,Rep. Charles Van Zant is a Republican representing District 19. He is an architect from Keystone Heights who was first elected to the House in 2008.
Kesha Rogers,Democrat from Texas,"A follower of fringe political figure Lyndon LaRouche, frequent candidate Kesha Rogers of Houston has called for the impeachment of President Obama. The Texas Democratic Party declared her “not a real Democrat” before the March 2014 primary, in which she came second but with enough votes to trigger a runoff to determine the Democratic nominee opposing Republican incumbent U.S. Sen. John Cornyn. In 2010 and 2012, she won the Democratic nomination for a Houston-area U.S. House seat."
John Bolton,,John Bolton served as U.S. ambassador to the United Nations under President George W. Bush.
Seneca Jones,None from Oregon,Aaron Jones founded Seneca Jones sawmill in Eugene in 1954. The company continues to operate several wood products-based businesses in the Eugene area.
David Ignatius,,David Ignatius is a columnist for the Washington Post.
David Brooks,,David Brooks is a columnist for the New York Times.
Steve Forbes,,Steve Forbes is businessman and former GOP candidate for president.
Andrea Tantaros,,Andrea Tantaros is a conservative political analyst and co-host of Fox News Channel's The Five.
Chris Murphy,Democrat from Connecticut,Chris Murphy is a Democratic member of the U.S. Senate from Connecticut. He previously represented a district in the U.S. House of Representatives.
Bob Schieffer,"Journalist from Washington, D.C.","Bob Schieffer is the host of CBS' Face the Nation. He announced April 8, 2015, that he would be retiring in the summer of 2015."
Joseph Henchman,,Joseph Henchman is an attorney and policy analyst with The Tax Foundation.
Steve Leslie,None from Texas,"Steve Leslie, former provost of the University of Texas at Austin, represented the university in its presentations about the Dell Medical School in the fall of 2013."
Public comments at a Common Core hearing,,
Sandra Stotsky,,Sandra Stotsky is professor emerita from the University of Arkansas.
George Lavender,Republican from Texas,"George Lavender represents Texas House District 1, which includes Franklin, Lamar, Red River and Bowie counties. According to his Texas House of Representatives biography, Lavender is a Texarkana native and businessman, a partner with Ellco Distributing who works in commercial real estate and was elected to the House in November 2010."
Larry Valencia,Democrat from Rhode Island,"Larry Valencia, a Democrat, is a member of the Rhode Island House of Representatives, representing portions of Richmond, Exeter and Hopkinton. He is a freelance medical and technical writer."
Pam Bondi,Republican from Florida,"Pam Bondi, a former Hillsborough County prosecutor, was elected Floriday Attorney General on Nov. 2, 2010 and re-elected Nov. 4, 2014."
Texas secession petition,,
Bill Powers,None from Texas,"William Powers Jr., president of the University of Texas at Austin since February 2006,  previously served as dean of the university's School of Law, whose faculty he joined in 1977."
" Our Portland, Our Schools",,"""Our Portland, Our Schools"" is a group supporting a Portland Public Schools' bond measure on the November 2012 ballot."
John G. Morgan,None from Tennessee,"Morgan had been Deputy to the Governor of the State of Tennessee since January 2009; prior to that, he had served as Comptroller of the Treasury for the State of Tennessee for 10 years. His public service career dates back to 1976 except for a brief stint in the late 1980s with Third National Bank. Morgan has had a longtime interest in and commitment to education. He holds a Bachelor of Science degree in political science and history from Austin Peay State University."
Kal Penn,,Kal Penn is an actor who worked as associate director of the White House Office of Public Engagement under Obama.
Chris Devaney,Republican from Tennessee,"A University of Oklahoma graduate, Devaney came to Tennessee in 1994 to work on the campaign of Sen. Fred Thompson. He was elected to serve as state chairman in 2006 and reelected in 2010. He lives in Chattanooga with his wife Heather and their four children."
Vincent Fort,Democrat from Georgia,"State senator representing District 39, which runs from East Point to Buckhead."
Lights For Liberty,,"Lights for Liberty is a group opposed to the regional transportation tax that goes before metro Atlanta voters on July 31, 2012."
Steve Phelps,,Steve Phelps is chief marketing officer for NASCAR.
Georgia Green Party,,Green Party of Georgia
Austin Fund for Quality Healthcare,None from Texas,"The Austin Fund for Quality Healthcare is a nonprofit that operates HealthyATX, a program created to build support for a medical school. Its mission is to ""coordinate the expansion of innovative medical education, research and public health through community collaboration, fostering cooperation between community institutions and the creation of public/private partnerships in order to position Central Texas as a center for accessible, world-class healthcare for everyone, to create jobs and increase economic prosperity."""
Ron Ramsey,Republican from Tennessee,"Ron Ramsey, R-Blountville, is speaker of the Tennessee Senate. He ran unsuccessfully for governor in 2010, losing in the Republican primary to then mayor of Knoxville Bill Haslam."
Conservative Voters of Texas PAC,,Political action committee whose president is Houston attorney Mark McCaig.
Mike Schaufler,,"Rep. Mike Schaufler, D-Portland, represents Oregon House District 48."
Transportation Leadership Coalition,,"Transportation Leadership Coalition opposes a referrendum to raise sales taxes by one cent across metro Atlanta to pay for a transportation overhaul. The vote takes place July 31, 2012."
Anonymous Flier,,"This anonymous flier was passed out at a Fayette County Commission workshop April 4, 2012."
Myra Crownover,Republican from Texas,"Myra Crownover, a former public schoolteacher, represents a Denton County district."
David A. Clarke Jr.,Activist from Wisconsin,"David A. Clarke Jr., who served as Milwaukee County sheriff from 2002 to 2017, is a senior advisor to the pro-Donald Trump America First Action Super PAC"
John Duncan,Republican from Tennessee,The former judge has represented Tennessee's 2nd Congressional District since the 1980s.
Oregon Transformation Project,,The Oregon Transformation Project was started by Republicans in 2010 to transform the way Oregon talks about budget and spending.
David Mellon,Labor leader from Rhode Island,"David Mellon is President of the Rhode Island Brotherhood of Correctional Officers, which represents 1,300 correctional officers, stewards, inmate industries’ supervisors, office personnel, and medical and social work professionals at the Adult Correctional Institutions in Cranston."
Paul Valletta,Labor leader from Rhode Island,Paul Valletta Jr. is a firefighter and a lobbyist for the Rhode Island State Association of Firefighters.
Leon Panetta,Democrat from California,"Leon Panetta is the director of the Central Intelligence Agency. Earlier in his career, he was a Democratic member of the U.S. House of Representatives from a district in California. He also served as director of the Office of Management and Budget under President Bill Clinton."
Nick Tsiongas,Newsmaker from Rhode Island,"Dr. Nick Tsiongas, a physician, is a former Rhode Isalnd state legislator and past president of the Rhode Island Medical Society. He also is a founding board member of HealthRIght, a Rhode Island group working for “the passage and implementation of comprehensive health care reform."""
Matt Wand,Republican from Oregon,"Matt Wand was elected to the Troutdale City Council in 2008. He is an attorney with the firm he founded, Wand Law Firm, Gresham."
Ash Williams,None from Florida,Ash Williams is executive director and chief investment officer of the State Board of Administration
Alberto Carvalho,None from Florida,"Alberto Carvalho is the superintendent for Miami-Dade Public Schools, the nation's fourth-largest school district."
Wisconsin Sierra Club,Organization from Wisconsin,"According to the Wisconsin Democracy Campaign, the Sierra Club is a pro-environment membership organization with a major focus on lobbying. It has been making independent expenditures since the 1996 election cycle and helped pioneer the use of ""issue"" ads. The group supported Democratic Party candidates in the 2011 Wisconsin Senate recall elections."
Chris Widener,Republican from Ohio,"Chris Widener represents Ohio's the 10th Senate District, which includes Madison, Clark and Greene counties. He previously he served three terms in the Ohio House of Representatives."
Lisa Hamler-Fugitt,,
Jack Latvala,Republican from Florida,"Jack Latvala is the senator from the 16th district. He was elected in 2010, and previously served in the Senate from 1994-2002."
Steve Ogden,Republican from Texas,"Steve Ogden, initially elected to the Senate in early 1997, went on the chair the budget-drafting Senate Finance Committee. He previously served in the Texas House and U.S. Navy. He did not seek re-election in 2012."
John Thrasher,Republican from Florida,John Thrasher is a Republican state Senator representing District 8 in Northeast Florida and the chairman of the Republican Party of Florida.
Kathie Tovo,Democrat from Texas,"Kathie Tovo, who initially won election to the Austin City Council in 2011, won election to the District 9 single-member council district in 2014. Tovo is a former member of the city planning commission and former vice president of the Austin Neighborhoods Council, her campaign biography says."
Rick Hardcastle,Republican from Texas,Rick Hardcastle was first elected to the Texas House in 1998. He did not seek re-election in 2012.
Chris Dorworth,Republican from Florida,Chris Dorworth is a state representative serving District 34. He was first elected in 2007.
Joaquin Castro,Democrat from Texas,"Initially elected to the Texas House in 2002, Joaquin Castro initially won election to the U.S. House in November 2012."
Jimmie Don Aycock,Republican from Texas,Jimmie Don Aycock is a Texas House member from Killeen.
James Cenerini,Labor leader from Rhode Island,"James Cenerini is the legislative affairs/political action coordinator for Council 94, Rhode Island's largest state and municipal employees union."
John Buss,None from Florida,John Buss is the water resources manager for the city of Tallahassee.
