author;title;description;type
Vet TV;None from California;Vet TV was founded by Donny O’Malley, a humorist and YouTube celebrity. According to his bio, O’Malley was a Marine infantry officer for almost six years, serving in Asia and Afghanistan and reaching the rank of captain. The project dubs itself “the Comedy Central of the military.”;
People's Majority;nan;People's Majority is a super PAC with a post office box in Alexandria, Virginia, organized to defeat U.S. Sen. Sheldon Whitehouse.;
Pew Environment Group;nan;The Pew Environment Group, the conservation arm of The Pew Charitable Trusts.;
Jay Roberts;nan;Jay Roberts is a former state representative from Ocilla who was appointed to Planning Director for the Georgia Department of Transportation after the 2015 Legislative session.;
James Rockall;nan;James Rockall is CEO and Managing Director of World LPG Association.;
Media Matters;nan;Media Matters for America is a liberal group that researches claims made by the conservative media.;
Judd Gregg;nan;Judd Gregg is a former U.S. senator from New Hampshire and was also briefly President Barack Obama’s nominee to head the Department of Commerce.;
David Miliband;nan;David Miliband is the president of the International Rescue Committee.;
Kevin Flynn;State official from Rhode Island;Kevin M. Flynn is the associate director of the Rhode Island Division of Planning.;
Nicholas Burns;nan;Nicholas Burns is a Professor of the Practice of Diplomacy and International Relations at the Harvard Kennedy School of Government. Burns was was Under Secretary of State for Political Affairs from 2005 to 2008, U.S. Ambassador to NATO (2001–2005), Ambassador to Greece (1997–2001) and State Department Spokesman (1995–1997). He worked for five years (1990–1995) on the National Security Council at the White House where he was Senior Director for Russia, Ukraine and Eurasia Affairs and Special Assistant to President Clinton and Director for Soviet Affairs in the Administration of President George H.W. Bush.;
Wannabe Entertainment;nan;A website associated with misleading news.;
Independent Texans;nan;The political action committee's website says it supports ballot measures and candidates, regardless of party, favoring political reform and fiscal reform or issues of oncern to voters in their jurisdiction. The committee was founded in 2001 by director Linda Curtis.;
Andy Puzder;None from California;Andrew F. Puzder is chief executive of CKE Restaurants, the parent company of Carl's Jr. and Hardee's.;
Ertharin Cousin;nan;Ertharin Cousin is the Executive Director of the United Nations' World Food Programme.;
Campaign for Liberty;nan;The Campaign for Liberty is a non-profit political organization by former U.S. Rep. Ron Paul, R-Texas, in the aftermath of his 2008 presidential campaign. The group, which claims 500,000 members, is dedicated to electing candidates who share its beliefs for limited government, a non-interventionist foreign policy and opposition to the Federal Reserve System.;
James Woods;nan;James Woods is an actor.;
Matt Wuerker;nan;Matt Wuerker is Politico's editorial cartoonist. In 2012, he won the Pulitzer Prize for editorial cartooning.;
Peter Feigin;nan;Peter Feigin is president of the Milwaukee Bucks.;
Deadspin;nan;Deadspin is an eight-year-old website that brings a humorous and sarcastic attitude to sports news. It is owned by Gawker Media.;
Steven Teske;nan;Steven Teske is the chief Juvenile Court judge of Clayton County.;
Don Balfour;nan;State Sen. Don Balfour is a Republican from Snellville.;
Bret Baier;nan;Bret Baier is host of Fox News' Special Report with Bret Baier and is the network's chief political anchor. Before that, he was the news channel's chief White House correspondent and Pentagon correspondent.;
Paul Doughty;Labor leader from Rhode Island;Paul Doughty is president of Local 799 of the International Association of Firefighters, which represents workers in the Providence Fire Department.;
People for the Ethical Treatment of Animals;nan;People for the Ethical Treatment of Animals is an animal rights organization based in Norfolk, Va.;
Friends of Miami First;None from Florida;Friends of Miami First is a political action commission funded by t he Miami Dolphins and the South Florida Stadium LLC, team owner Stephen Ross' company which owns the stadium.;
Susan Cole;nan;Susan A. Cole has served as the president of Montclair State University since 1998.;
Randi Weingarten;nan;Randi Weingarten is president of the American Federation of Teachers.;
Eva Galambos;nan;Eva Galambos is the mayor of Sandy Springs, Georgia.;
Eric Bolling;nan;Eric Bolling is a conservative political commentator. He is a former Fox News host.;
Metropolitan North Georgia Water Planning District;nan;The Metropolitan North Georgia Water Planning District sets policy, creates plans and promotes coordination for all water issues in a 15-county region in and around metro Atlanta.;
Greta Van Susteren;nan;Greta Van Susteren, a Wisconsin native, is a talk show host. In January 2017, her show moved from the Fox News Channel to MSNBC.;
Mr. Conservative;None from None;Mr. Conservative is a conservative website.;
Mark Daniels;None from Oregon;Mark Daniels is a vice president of Hilex Poly Co.;
Eugene Robinson;nan;Eugene Robinson is a columnist for the Washington Post.;
Peter Pantuso;None from Washington, D.C.;"Peter J. Pantuso is president and chief executive officer of the American Bus Association, North America's largest motorcoach, tour and travel association. Pantuso oversees the association's daily operations, including government affairs; policy; communications; meetings and education programs.";
Charlotte Lehan;None from Oregon;Charlotte Lehan was elected to the Clackamas County Board of Commissioners in November 2008 and appointed chair in March 2011. Prior to joining the board of commissioners, she was mayor of Wilsonville for 12 years.;
Doug Otto;None from Texas;Doug Otto, who began leading the Plano district in 1995, was previously superintendent of schools in the Anoka-Hennepin school district in Minnesota, according to a Plano district website. He announced his resignation in 2011.;
Sergey Lavrov;None from Russia;Sergey Lavrov has been the minister of foreign affairs for Russia since 2004. Previously, he served as Russia's permanent representative to the United Nations.;
Florida Wildlife Federation;None from Florida;The Florida Wildlife Federation is a private, non-profit organization that focuses on preserving, managing, and improving Florida's wildlife environment. It is affiliated with the National Wildlife Federation.;
Joy Pullmann;None from Illinois;Joy Pullmann is managing editor of The Federalist and an education research fellow at The Heartland Institute.;
Frank Annunziato;Labor leader from Rhode Island;Frank R. Annunziato is executive director of the University of Rhode Island chapter of the American Association of University Professors, a labor union and advocacy group.;
LIBRE Initiative;nan;The LIBRE Initiative is a conservative grassroots organization that targets Hispanic voters. It is a a 501(c)4 nonprofit and has ties to the Koch brothers.;
Katrina Pierson;nan;Katrina Pierson is Republican communications consultant. She is the national spokesperson for Donald Trump.;
Hemant Mehta;Activist from Illinois;Hemant Mehta is a Chicago-area public-school teacher and editor of Friendly/Atheist.com.;
Jeff Dickerson;None from Georgia;Jeff Dickerson is a spokesman for Citizens for Transportation Mobility.;
Ridesharing Works for Austin;None from Texas;Ridesharing Works for Austin raised the signatures needed to place Proposition 1 on Austin's May 7, 2016 ballot. If approved, the proposition would require the city to accept name-based background checks of drivers for ride-hailing services conducted by the services. If rejected, such drivers would be required to undergo fingerprinting and national background checks run through the FBI.;
American Action Network;nan;The American Action Network is a conservative, nonprofit advocacy organization. Its leadership includes Republican former officials.;
Stephen Colbert;nan;Stephen Colbert is the host of CBS' The Late Show with Stephen Colbert. Previously, he worked for Comedy Central as host of The Colbert Report, and he also starred on The Daily Show with Jon Stewart.;
Marvin Pratt;None from Wisconsin;Marvin Pratt served as a Milwaukee alderman from 1987 to 2004. Between 2000 and 2004, he also served as president of the Milwaukee Common Council. He was Milwaukee’s acting mayor from January 2004 until April 2004, when he was defeated in the mayoral election.;
Maureen Dowd;None from New York;Maureen Dowd is an opinion columnist for the New York Times.;
Good Jobs First;nan;Good Jobs First is a research and policy group that argues against corporate tax breaks.;
Tim Knopp;nan;Former Oregon Rep. Tim Knopp, R-Bend, is challenging state Sen. Chris Telfer, R-Bend, for Senate District 27 in the May 2012 primary.;
Steve Crisafulli;nan;Steve Crisafulli, R-Merritt Island, is Speaker of the Florida House of Representatives for 2014-16.;
Kevin Reilly;State official from Wisconsin;Kevin P. Reilly began his tenure as the sixth president of the University of Wisconsin System on September 1, 2004. Reilly served as Chancellor of UW-Extension from July 2000 through August 2004. He was Provost and Vice Chancellor of Extension from 1996 to 2000. A native of New York City, Reilly came to Wisconsin from the State University of New York System, where he was Associate Provost for Academic Programs and then Secretary of the University.;
Don McIntire;nan;Don McIntire is a veteran tax activist who lobbies for limited government and limited public spending.;
John Ludlow;nan;Wilsonville businessman John Ludlow is running for Clackamas County Commission Chair.;
Patriot Majority PAC;None from Washington, D.C.;Patriot Majority PAC is a liberal group that has been running ads against Republican candidates in the 2010 election.;
US Uncut;nan;US Uncut is an activist group that ties corporate tax avoidance to shortages of funds to pay for social services.;
Greg Casar;None from Texas;"Gregorio ""Greg"" Casar was initially elected to the Austin City Council in 2014. He represents the city's District 4.";
Citizens for the Republic;None from Virginia;Citizens for the Republic is a conservative advocacy group headed by several veterans of the Reagan Administration.;
Judicial Watch;nan;Judicial Watch is a conservative group that litigates on public corruption and other issues.;
Joseph Andriole;Labor leader from Rhode Island;Joseph Andriole worked as a firefighter in Central Falls for 22 years. After retiring in 2009, he began working full-time as vice president of the Rhode Island State Association of Firefighters. He previously worked part-time as the association’s business agent.;
Andrea Mitchell;nan;Andrea Mitchell is a journalist for NBC and MSNBC.;
Rosemary Laird;None from Florida;Rosemary Laird is a geriatrician at the Centre for Senior Health in Winter Park, Fla.;
Patriot Majority USA;nan;Patriot Majority USA describes itself as an organization hoping to empower all Americans. Its action plan includes providing more money for public schools, improving the nation’s roads and bridges, supporting the federal health care law’s provision that allows parents to keep their children on their insurance until the age of 26, and closing tax loopholes for special-interest groups.;
Drew Springer;nan;Freshman state representative in the 2013 Texas Legislature from the Northwest Texas town of Muenster, representing District 68.;
Thomas Sowell;nan;Thomas Sowell is an author and columnist, and a senior fellow at the Hoover Institution at Stanford University.;
Martha McSally;nan;U.S. Rep. Martha McSally, R-Ariz., served 26 years in the U.S. Air Force, retiring in 2010 as a full colonel. She was the first female fighter pilot to fly a combat mission and command a fighter squadron. She was elected to public office for the first time when she won election to Congress in 2014.;
Glen Sturtevant;nan;Sturtevant, an attorney, is a member of the Richmond School Board. He is seeking the 10th District state senate seat held by outgoing GOP Sen. John Watkins.;
Pat Stevens;None from Georgia;Pat Stevens is Director of Environmental Planning for the Atlanta Regional Commission.;
Kathy Miller;nan;"Kathy Miller is president of the Texas Freedom Network, which describes itself as a watchdog group that monitors ""far-right issues, organizations, money and leaders.""";
Minka Kelly;nan;Minka Kelly is an American actress.;
U.S. Census Bureau;None from Maryland;The U.S. Census Bureau oversees the decennial government census and related research including the annual American Community Survey.;
Kurt Bauer;None from Wisconsin;Kurt Bauer is president of Wisconsin Manufacturers & Commerce, the state's largest business lobby.;
Bill Weimer;None from Ohio;Bill Weimer is the vice president of Youngstown, Ohio,-based Phantom Fireworks, the nation's largest retailer of consumer fireworks.;
Robert Koons;nan;Robert Koons is a philosophy professor at the University of Texas at Austin.;
Environment New Jersey;None from New Jersey;Environment New Jersey is a statewide, citizen-based environmental advocacy group.;
Kevin Downing;None from Washington, D.C.;Kevin Downing is an attorney based in Washington, D.C. His highest-profile client is Paul Manafort, who was prosecuted by Special Counsel Robert Mueller.;
Russia Today;nan;Russia Today is a American cable network that is funded by the government of Russia.;
Various media reports;None from Georgia;this is for hate crimes story. fact-check of reports in news media.;
Clean Virginia;nan;"Clean Virginia is a non-profit organization seeking to overhaul the state's system of regulating power companies, which it says is ""corrupt,"" and ""rigged"" against  consumers. The organization notes that Virginia's two dominant power companies, Dominion Energy and the Appalachian Power Co., which provide 82 percent of the state's electricity, have contributed more than $12 million to state campaigns since 1996. Those contributions, the organization contends, have reseulted in favorable treatment by the Genral Assembly.";
Kanye West;nan;Kanye West is an award-winning rapper/producer.;
Alexander Strenger;None from Texas;Alexander Strenger, an Austin pedicabbie, is a 2018 candidate for Austin mayor.;
Michael Lee;nan;Michael Lee is a Republican member of the NC State Senate;
Jeff Tarte;nan;Jeff Tarte is a Cornelius Republican in the State Senate.;
Sue Bell Cobb;nan;Sue Bell Cobb is the former Alabama Supreme Court chief justice. The Democrat is running for Alabama governor in 2018.;
Elizabeth Foley;None from Florida;Foley is a Professor of Law at Florida International University College of Law, a public law school located in Miami, Florida.;
Tom Luce;None from Texas;Tom Luce, a Dallas lawyer, is a long-time adviser to state government leaders. In the 1980s, he helped steer into law an overhaul of state education laws including the no-pass, no-play requirement that students pass their classes to participate in extracurricular activities.;
Glenna Hodge;None from Texas;Glenna Hodge, a Spicewood lawyer, made a claim about what the Austin district teaches children about gender identity.;
Evan Smith;None from Texas;Evan Smith, former editor of Texas Monthly, co-founded the Texas Tribune with Ross Ramsey in 2009. He's the Tribune's CEO.;
Kimberley Strassel;nan;Kimberley Strassel is a Washington-based columnist and editorial board member for the Wall Street Journal.;
Social Media;nan;logo;
Wick Moorman;nan;Amtrak CEO;
Betsy DeVos;nan;Betsy DeVos is an education activist and major Republican donor from Michigan. President-elect Donald Trump nominated her for the position of education secretary.;
No on 56 campaign;nan;The No on 56 campaign opposes California's proposed $2 per pack cigarette tax. It is funded by tobacco companies Phillip Morris and R.J. Reynolds.;
No on 67;nan;The No on 67 campaign opposes California's Proposition 67, a measure that would ban thin plastic carryout bags at grocery stores statewide and impose a 10 cent fee on paper and other carryout bags. The campaign is led by a plastics industry trade association.;
Viral media reports;None from Georgia;this is for facebook post and twitter feeds;
Diane Douglas;nan;Diane Douglas is the Arizona Department of Education's State Superintendent of Public Instruction.;
Bill McRaven;None from Texas;William H. McRaven, a retired U.S. Navy four-star admiral, became chancellor of the University of Texas System in January 2015. McRaven graduated from The University of Texas at Austin in 1977 with a degree in journalism and received his master’s degree from the Naval Postgraduate School in Monterey in 1991.;
State Public Service Announcement;None from Georgia;working on keeping traffic deaths down;
Justin Trudeau;nan;Justin Trudeau is the 23rd prime minister of Canada.;
Michael Needham;nan;Michael Needham is the CEO of Heritage Action for America.;
Ben Rhodes;nan;Ben Rhodes is the Assistant to the President and Deputy National Security Advisor for Strategic Communications and Speechwriting, overseeing President Obama’s national security communications, speechwriting, and global engagement.;
Internet commenters;None from Wisconsin;People who post comments on stories published on the Internet;
Tim Lee;nan;Tim Lee is chairman of the Cobb County Board of Commissioners.;
Stanley McChrystal;nan;Stanley McChrystal  is a retired U.S. Army general.;
State Farm Insurance;nan;major insurer;
Russell McMurry;None from Georgia;Russell McMurry is commissioner of the Georgia Department of Transportation.;
Maria Shriver;nan;Maria Shriver is a NBC News correspondent.;
Rich Lowry;nan;Rich Lowry is the editor of National Review.;
Jim Lampley;nan;Jim Lampley is a boxing announcer for HBO.;
Kathleen Sullivan;Activist from Rhode Island;Kathleen Sullivan is the town of Warren’s substance abuse coordinator. She is also program director for The BAY Team, Barrington’s Prevention Coalition.;
Peter Schweizer;nan;"Peter Schweizer is a political consultant and author of the book ""Clinton Cash.""";
Viral BuzzFeed;None from Georgia;buzzfeed.com;
Martin Smith;None from Georgia;lobbyist for the Georgia Beer Wholesalers Association;
Jack Keane;nan;Jack Keane is a retired four-star Army general and Fox News contributor.;
Alan Essig;None from Georgia;Alan Essig is the longtime executive director of the left-leaning Georgia Budget & Policy Institute.;
Claire Suggs;None from Georgia;education analyst;
Hank Huckaby;None from Georgia;Chancellor, University System of Georgia and state House representative.;
Russ Girling;nan;Russ Girling is the president and CEO of TransCanada, the company hoping to construct the Keystone XL pipeline.;
LZ Granderson;nan;LZ Granderson is a commentator for ESPN and CNN.;
Michael Hayden;nan;Michael Hayden is a retired U.S. Air Force general and former Director of the National Security Agency and Director of the Central Intelligence Agency.;
Martha Raddatz;nan;Martha Raddatz is a correspondent with ABC News.;
Larry Elder;nan;Larry Elder is a conservative radio talk show host and political commentator.;
Mark Emmert;nan;Mark Emmert is president of the NCAA.;
Joy Reid;nan;Joy Reid is the host of MSNBC's The Reid Report.;
Jake Tapper;nan;Jake Tapper is host of CNN's The Lead.;
Rula Jebreal;nan;Rula Jebreal is a Palestinian journalist who emerged as a Middle Eastern voice in Western media after sharing her experiences about growing up in the West Bank and reporting in Egypt during the Arab Spring,;
Stu Burguiere;nan;"Steve ""Stu"" Burguiere is the head writer of The Glenn Beck Program";
Charles Krauthammer;nan;Charles Krauthammer is a syndicated columnist and a contributor to Fox News.;
Anissa Naouai;nan;Anissa Naouai is a correspondent for RT.;
Bob Cole;None from Texas;Cole, a long-time Austin radio host, joined partners in launching KOKE FM in 2012. He hosts the station's weekday morning program from 6 a.m. to 10 a.m.;
John Bolton;nan;John Bolton served as U.S. ambassador to the United Nations under President George W. Bush.;
Seneca Jones;None from Oregon;Aaron Jones founded Seneca Jones sawmill in Eugene in 1954. The company continues to operate several wood products-based businesses in the Eugene area.;
David Ignatius;nan;David Ignatius is a columnist for the Washington Post.;
David Brooks;nan;David Brooks is a columnist for the New York Times.;
Steve Forbes;nan;Steve Forbes is businessman and former GOP candidate for president.;
Andrea Tantaros;nan;Andrea Tantaros is a conservative political analyst and co-host of Fox News Channel's The Five.;
Joseph Henchman;nan;Joseph Henchman is an attorney and policy analyst with The Tax Foundation.;
Steve Leslie;None from Texas;Steve Leslie, former provost of the University of Texas at Austin, represented the university in its presentations about the Dell Medical School in the fall of 2013.;
Sandra Stotsky;nan;Sandra Stotsky is professor emerita from the University of Arkansas.;
Bill Powers;None from Texas;William Powers Jr., president of the University of Texas at Austin since February 2006,  previously served as dean of the university's School of Law, whose faculty he joined in 1977.;
 Our Portland, Our Schools;nan;"""Our Portland, Our Schools"" is a group supporting a Portland Public Schools' bond measure on the November 2012 ballot.";
John G. Morgan;None from Tennessee;"Morgan had been Deputy to the Governor of the State of Tennessee since January 2009; prior to that, he had served as Comptroller of the Treasury for the State of Tennessee for 10 years. His public service career dates back to 1976 except for a brief stint in the late 1980s with Third National Bank. Morgan has had a longtime interest in and commitment to education. He holds a Bachelor of Science degree in political science and history from Austin Peay State University.";
Kal Penn;nan;Kal Penn is an actor who worked as associate director of the White House Office of Public Engagement under Obama.;
Lights For Liberty;nan;Lights for Liberty is a group opposed to the regional transportation tax that goes before metro Atlanta voters on July 31, 2012.;
Steve Phelps;nan;Steve Phelps is chief marketing officer for NASCAR.;
Georgia Green Party;nan;Green Party of Georgia;
Conservative Voters of Texas PAC;nan;Political action committee whose president is Houston attorney Mark McCaig.;
Mike Schaufler;nan;Rep. Mike Schaufler, D-Portland, represents Oregon House District 48.;
Transportation Leadership Coalition;nan;Transportation Leadership Coalition opposes a referrendum to raise sales taxes by one cent across metro Atlanta to pay for a transportation overhaul. The vote takes place July 31, 2012.;
Anonymous Flier;nan;This anonymous flier was passed out at a Fayette County Commission workshop April 4, 2012.;
David A. Clarke Jr.;Activist from Wisconsin;David A. Clarke Jr., who served as Milwaukee County sheriff from 2002 to 2017, is a senior advisor to the pro-Donald Trump America First Action Super PAC;
Oregon Transformation Project;nan;The Oregon Transformation Project was started by Republicans in 2010 to transform the way Oregon talks about budget and spending.;
David Mellon;Labor leader from Rhode Island;David Mellon is President of the Rhode Island Brotherhood of Correctional Officers, which represents 1,300 correctional officers, stewards, inmate industries’ supervisors, office personnel, and medical and social work professionals at the Adult Correctional Institutions in Cranston.;
Paul Valletta;Labor leader from Rhode Island;Paul Valletta Jr. is a firefighter and a lobbyist for the Rhode Island State Association of Firefighters.;
Ash Williams;None from Florida;Ash Williams is executive director and chief investment officer of the State Board of Administration;
Alberto Carvalho;None from Florida;Alberto Carvalho is the superintendent for Miami-Dade Public Schools, the nation's fourth-largest school district.;
James Cenerini;Labor leader from Rhode Island;James Cenerini is the legislative affairs/political action coordinator for Council 94, Rhode Island's largest state and municipal employees union.;
John Buss;None from Florida;John Buss is the water resources manager for the city of Tallahassee.;
David Prosser;None from Wisconsin;"David Prosser is a Wisconsin Supreme Court justice. He was appointed to the court in 1998 and was re-elected three years later to a full 10-term term. He previously spent 18 years in the state Assembly representing the Appleton area; for eight of those years he was the Republican leader.";
Michelle Rhee;nan;Michelle Rhee is the former chancellor of the Washington D.C. public schools system.;
DeKalb County;None from Georgia;DeKalb County, which includes a portion of the city of Atlanta, is Georgia's third highest-populated county.;
Bumper Sticker;nan;A bumper sticker seen on the back of a Volkswagen VR6 in Washington, D.C.;
Mt. Hood Community College;None from Oregon;Mt. Hood Community College enrolls about 32,000 students and is the fifth largest of 17 community colleges in Oregon.;
Portland Community College;None from Oregon;Portland Community College is the state's largest community college with three comprehensive campuses, six centers and dozens of independent locations throughout the community.;
Franklin Graham;nan;The Rev. Franklin Graham is a Christian minister and the president and CEO of both the Billy Graham Evangelistic Association and the international relief organization Samaritan's Purse.;
Citizens for a Progressive Wisconsin;None from Wisconsin;Citizens for a Progressive Wisconsin is an interest group that has been active in state-level politics. According to the Center for Responsive Politics, the liberal organization is primarily active in federal politics.;
George Packer;nan;George Packer is a staff writer for The New Yorker.;
Carol Browner;nan;Carol Browner is the director of the White House Office of Energy and Climate Change Policy. She previously served as Administrator of the Environmental Protection Agency during the Clinton administration.;
Timothy Geithner;nan;Timothy Geithner served as U.S. Secretary of Treasury, having been appointed by President Barack Obama to that position in 2009. Prior to that, Geithner was the president of the Federal Reserve Bank of New York.;
Georgia politicians;nan;Various.;
Daniel Senor;nan;Daniel Senor is a former foreign policy advisor in the administration of George W. Bush and senior advisor to the Coalition Provisional Authority in Iraq. He was previously foreign policy and communications aide in the U.S. Senate. He is a founding partner of Rosemont Capital.;
John Murtha;nan;John Murtha was a Democratic congressman who represented a district in western Pennsylvania. The former chairman of the House Appropriations Defense Subcommittee and a decorated Vietnam War veteran, Murtha died in February 2010.;
Recovery.gov;nan;Recovery.gov is the U.S. government's official website providing access to data related to the American Recovery and Reinvestment Act of 2009.;
Mary Matalin;nan;Mary Matalin is a Republican political consultant and commentator.;
Lou Dobbs;nan;Lou Dobbs is a television host on Fox Business Network. He was formerly the host of CNN’s ‘Lou Dobbs Tonight’.;
Michelle Malkin;None from Colorado;Malkin is a prominent conservative blogger and pundit;
Kimberly Guilfoyle;nan;Kimberly Guilfoyle is a co-host of The Five.;
Fred Smith;nan;Chair and Chief Executive Officer of FedEx;
The Other 98%;nan;The Other 98% is an activist organization that favors an increase in the minimum wage and opposes favorable tax treatment for large corporations.;
